ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
5123,simple,10216,22209-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,25,5,0,0,,,,,1,,,39.92,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5124,simple,10086,22210-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,12,5,0,0,,,,,1,,,44.21,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5125,simple,105578,22211-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,32,5,0,0,,,,,1,,,40.29,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5126,simple,9954,22211-RZKW33M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,16,5,0,0,,,,,1,,,42.08,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5127,simple,9749,22212-RZKW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,9,5,0,0,,,,,1,,,37.7,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5128,simple,9955,22212-RZW33M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,13,5,0,0,,,,,1,,,37.81,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5129,simple,107043,22213-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,16,5,0,0,,,,,1,,,,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5130,simple,9237,22213-RZKW33M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,35,5,0,0,,,,,1,,,46,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5131,simple,9957,22213-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,2,5,0,0,,,,,1,,,45.98,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5132,simple,9958,22214-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,43.6,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5133,simple,10218,22215-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,48.13,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5134,simple,9959,22215-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,12,5,0,0,,,,,1,,,48.72,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
