ID,Type,SKU,Sold individually?
5478,simple,106716,0
5479,simple,105711,0
5480,simple,105712,0
5481,simple,10200,0
5482,simple,10073,0
5483,simple,10075,0
5484,simple,106741,0
5485,simple,106742,0
5486,simple,106448,0
5487,simple,9714,0
5488,simple,107039,0
5489,simple,8382,0
5490,simple,9724,0
5491,simple,7801,0
5492,simple,9126,0
5493,simple,105714,0
5494,simple,9647,0
5495,simple,105713,0
5496,simple,9217,0
5497,simple,8094,0
5498,simple,105716,0
5499,simple,105715,0
5500,simple,105573,0
5501,simple,3924,0
5502,simple,9939,0
5503,simple,9219,0
5504,simple,4045,0
5505,simple,9649,0
5506,simple,9127,0
5507,simple,4039,0
5508,simple,7215,0
5509,simple,9839,0
5510,simple,4035,0
5511,simple,9650,0
5512,simple,9840,0
5513,simple,9337,0
5514,simple,3856,0
5515,simple,7216,0
5516,simple,3989,0
5517,simple,105717,0
5518,simple,9129,0
5519,simple,3858,0
5520,simple,4037,0
5521,simple,9941,0
5522,simple,9565,0
5523,simple,105718,0
5524,simple,10201,0
5525,simple,4031,0
5526,simple,4016,0
5527,simple,9792,0
5528,simple,7344,0
5529,simple,3969,0
5530,simple,9222,0
5531,simple,4027,0
5532,simple,9338,0
5533,simple,4006,0
5534,simple,106677,0
5535,simple,3860,0
5536,simple,3993,0
5537,simple,9566,0
5538,simple,10202,0
5539,simple,10562,0
5540,simple,9130,0
5541,simple,9223,0
5542,simple,9131,0
5543,simple,106348,0
5544,simple,10162,0
5545,simple,3970,0
5546,simple,9340,0
5547,simple,10563,0
5548,simple,106021,0
5549,simple,9944,0
5550,simple,9132,0
5551,simple,3950,0
5552,simple,9341,0
5553,simple,10204,0
5554,simple,9225,0
5555,simple,3945,0
5556,simple,106449,0
5557,simple,9133,0
5558,simple,3951,0
5559,simple,7351,0
5560,simple,105722,0
5561,simple,105720,0
5562,simple,9226,0
5563,simple,10205,0
5564,simple,105721,0
5565,simple,9228,0
5566,simple,9568,0
5567,simple,9227,0
5568,simple,10080,0
5569,simple,10081,0
5570,simple,10163,0
5571,simple,10082,0
5572,simple,107040,0
5573,simple,10529,0
5574,simple,106743,0
5575,simple,106450,0
5576,simple,105723,0
5577,simple,3867,0
5578,simple,106038,0
5579,simple,105795,0
5580,simple,9977,0
5581,simple,105803,0
5582,simple,9670,0
5583,simple,8096,0
5584,simple,9729,0
5585,simple,3952,0
5586,simple,7380,0
5587,simple,4014,0
5588,simple,9978,0
5589,simple,9715,0
5590,simple,9730,0
5591,simple,105796,0
5592,simple,106744,0
5593,simple,105888,0
5594,simple,9731,0
5595,simple,105797,0
5596,simple,9232,0
5597,simple,3870,0
5598,simple,3871,0
5599,simple,106154,0
5600,simple,9252,0
5601,simple,106157,0
5602,simple,3873,0
5603,simple,9134,0
5604,simple,9946,0
5605,simple,9733,0
5606,simple,10564,0
5607,simple,9947,0
5608,simple,105804,0
5609,simple,9948,0
5610,simple,9734,0
5611,simple,9950,0
5612,simple,9735,0
5613,simple,106451,0
5614,simple,9651,0
5615,simple,9736,0
5616,simple,106452,0
5617,simple,9951,0
5618,simple,105798,0
5619,simple,9952,0
5620,simple,10521,0
5621,simple,106349,0
5622,simple,9738,0
5623,simple,105724,0
5624,simple,10083,0
5625,simple,9365,0
5626,simple,3876,0
5627,simple,3877,0
5628,simple,106029,0
5629,simple,10155,0
5630,simple,3878,0
5631,simple,106745,0
5632,simple,3879,0
5633,simple,106425,0
5634,simple,9975,0
5635,simple,9574,0
5636,simple,106420,0
5637,simple,106457,0
5638,simple,9356,0
5639,simple,106156,0
5640,simple,9716,0
5641,simple,9326,0
5642,simple,3881,0
5643,simple,3880,0
5644,simple,3959,0
5645,simple,3933,0
5646,simple,106678,0
5647,simple,3882,0
5648,simple,9191,0
5649,simple,3994,0
5650,simple,9686,0
5651,simple,8011,0
5652,simple,9925,0
5653,simple,3934,0
5654,simple,9102,0
5655,simple,4010,0
5656,simple,9103,0
5657,simple,9193,0
5658,simple,9104,0
5659,simple,4024,0
5660,simple,106023,0
5661,simple,9518,0
5662,simple,3957,0
5663,simple,10530,0
5664,simple,106680,0
5665,simple,106681,0
5666,simple,106682,0
5667,simple,10581,0
5668,simple,10157,0
5669,simple,10206,0
5670,simple,10207,0
5671,simple,10208,0
5672,simple,10209,0
5673,simple,10210,0
5674,simple,10582,0
5675,simple,10583,0
5676,simple,10584,0
5677,simple,10585,0
5678,simple,10586,0
5679,simple,10211,0
5680,simple,10587,0
5681,simple,10212,0
5682,simple,10213,0
5683,simple,10588,0
5684,simple,3935,0
5685,simple,107051,0
5686,simple,105891,0
5687,simple,9357,0
5688,simple,9358,0
5689,simple,106039,0
5690,simple,9359,0
5691,simple,107041,0
5692,simple,3941,0
5693,simple,9135,0
5694,simple,3892,0
5695,simple,106350,0
5696,simple,105638,0
5697,simple,9656,0
5698,simple,105574,0
5699,simple,10194,0
5700,simple,3896,0
5701,simple,10215,0
5702,simple,106351,0
5703,simple,10565,0
5704,simple,3899,0
5705,simple,9233,0
5706,simple,9741,0
5707,simple,107107,0
5708,simple,106024,0
5709,simple,106352,0
5710,simple,105639,0
5711,simple,9744,0
5712,simple,3903,0
5713,simple,106353,0
5714,simple,10084,0
5715,simple,107108,0
5716,simple,105640,0
5717,simple,9826,0
5718,simple,105641,0
5719,simple,106192,0
5720,simple,106151,0
5721,simple,9234,0
5722,simple,106152,0
5723,simple,3907,0
5724,simple,105642,0
5725,simple,9745,0
5726,simple,105643,0
5727,simple,9827,0
5728,simple,106025,0
5729,simple,9342,0
5730,simple,9657,0
5731,simple,9871,0
5732,simple,105644,0
5733,simple,106026,0
5734,simple,105645,0
5735,simple,106354,0
5736,simple,105575,0
5737,simple,107042,0
5738,simple,9746,0
5739,simple,9140,0
5740,simple,9141,0
5741,simple,3979,0
5742,simple,105756,0
5743,simple,106355,0
5744,simple,10146,0
5745,simple,3936,0
5746,simple,9953,0
5747,simple,9747,0
5748,simple,9571,0
5749,simple,106356,0
5750,simple,9572,0
5751,simple,105576,0
5752,simple,10523,0
5753,simple,9137,0
5754,simple,105568,0
5755,simple,3987,0
5756,simple,4020,0
5757,simple,3998,0
5758,simple,3973,0
5759,simple,3974,0
5760,simple,4022,0
5761,simple,106679,0
5762,simple,4000,0
5763,simple,3980,0
5764,simple,3982,0
5765,simple,3995,0
5766,simple,3968,0
5767,simple,105562,0
5768,simple,3981,0
5769,simple,9550,0
5770,simple,3971,0
5771,simple,9194,0
5772,simple,8968,0
5773,simple,3997,0
5774,simple,9635,0
5775,simple,9105,0
5776,simple,3947,0
5777,simple,9663,0
5778,simple,105648,0
5779,simple,10227,0
5780,simple,106359,0
5781,simple,106363,0
5782,simple,10522,0
5783,simple,107049,0
5784,simple,106159,0
5785,simple,3915,0
5786,simple,4052,0
5787,simple,10571,0
5788,simple,10570,0
5789,simple,3975,0
5790,simple,3918,0
5791,simple,10145,0
5792,simple,105579,0
5793,simple,3919,0
5794,simple,106030,0
5795,simple,106031,0
5796,simple,106165,0
5797,simple,106166,0
5798,simple,106167,0
5799,simple,106035,0
5800,simple,106168,0
5801,simple,107053,0
5802,simple,9739,0
5803,simple,106365,0
5804,simple,107052,0
5805,simple,106713,0
5806,simple,106169,0
5807,simple,9740,0
5808,simple,106171,0
5809,simple,106172,0
5810,simple,106174,0
5811,simple,106366,0
5812,simple,8191,0
5813,simple,106367,0
5814,simple,106176,0
5815,simple,106369,0
5816,simple,106516,0
5817,simple,106178,0
5818,simple,106179,0
5819,simple,106180,0
5820,simple,106181,0
5821,simple,106182,0
7303,simple,986,0
